,id_student,gender,region,highest_education,age_band,disability,final_result,score
0,11391,M,East Anglian Region,HE Qualification,55<=,N,Pass,82
1,28400,F,Scotland,HE Qualification,35-55,N,Pass,67
2,31604,F,South East Region,A Level or Equivalent,35-55,N,Pass,76
3,32885,F,West Midlands Region,Lower Than A Level,0-35,N,Pass,55
4,38053,M,Wales,A Level or Equivalent,35-55,N,Pass,68
5,45462,M,Scotland,HE Qualification,0-35,N,Pass,68
6,45642,F,North Western Region,A Level or Equivalent,0-35,N,Pass,73
7,52130,F,East Anglian Region,A Level or Equivalent,0-35,N,Pass,72
8,53025,M,North Region,Post Graduate Qualification,55<=,N,Pass,78
9,57506,M,South Region,Lower Than A Level,35-55,N,Pass,74
10,58873,F,East Anglian Region,A Level or Equivalent,0-35,N,Pass,74
11,59185,M,East Anglian Region,Lower Than A Level,35-55,N,Pass,79
12,62155,F,North Western Region,HE Qualification,0-35,N,Pass,76
13,63400,M,Scotland,Lower Than A Level,35-55,N,Pass,72
14,65002,F,East Anglian Region,A Level or Equivalent,0-35,N,Withdrawn,67
15,65002,F,East Anglian Region,A Level or Equivalent,0-35,N,Fail,67
16,70464,F,West Midlands Region,A Level or Equivalent,35-55,N,Pass,56
17,71361,M,Ireland,HE Qualification,35-55,N,Pass,81
18,74372,M,East Anglian Region,A Level or Equivalent,35-55,N,Fail,49
19,75091,M,South West Region,A Level or Equivalent,35-55,N,Pass,66
20,77367,M,East Midlands Region,A Level or Equivalent,0-35,N,Pass,71
21,91265,M,North Western Region,HE Qualification,0-35,N,Pass,71
22,94961,M,South Region,Lower Than A Level,35-55,N,Withdrawn,66
23,94961,M,South Region,Lower Than A Level,35-55,N,Pass,66
24,98094,M,Wales,Lower Than A Level,35-55,N,Pass,61
25,100893,M,Yorkshire Region,A Level or Equivalent,0-35,N,Pass,69
26,101781,M,South Region,Lower Than A Level,35-55,N,Pass,73
27,102806,M,North Western Region,A Level or Equivalent,0-35,N,Pass,78
28,102952,M,London Region,HE Qualification,0-35,N,Pass,77
29,104476,M,Ireland,Post Graduate Qualification,35-55,N,Pass,80
30,106247,M,South Region,HE Qualification,35-55,N,Withdrawn,60
31,106577,M,East Midlands Region,Lower Than A Level,0-35,N,Pass,54
32,110175,M,East Anglian Region,HE Qualification,35-55,N,Pass,64
33,111717,F,East Anglian Region,HE Qualification,35-55,N,Pass,81
34,113295,M,Yorkshire Region,Lower Than A Level,35-55,N,Pass,78
35,114017,F,North Region,Post Graduate Qualification,35-55,N,Pass,72
36,114999,M,Yorkshire Region,HE Qualification,35-55,N,Pass,73
37,116541,M,Wales,HE Qualification,0-35,N,Pass,63
38,116692,M,East Anglian Region,A Level or Equivalent,35-55,N,Pass,75
39,118983,M,East Midlands Region,HE Qualification,0-35,N,Pass,62
40,123044,M,South Region,A Level or Equivalent,35-55,N,Pass,72
41,127582,F,East Midlands Region,A Level or Equivalent,0-35,N,Pass,70
42,129955,M,West Midlands Region,A Level or Equivalent,0-35,N,Withdrawn,81
43,129955,M,West Midlands Region,A Level or Equivalent,0-35,N,Withdrawn,81
44,132976,F,East Anglian Region,Lower Than A Level,35-55,N,Pass,68
45,134143,F,South East Region,A Level or Equivalent,35-55,N,Distinction,85
46,135400,F,South East Region,Lower Than A Level,35-55,Y,Withdrawn,54
47,135400,F,South East Region,Lower Than A Level,35-55,Y,Pass,54
48,137873,M,South West Region,A Level or Equivalent,35-55,N,Pass,81
49,141355,F,East Midlands Region,A Level or Equivalent,0-35,N,Pass,73
50,141377,M,South West Region,A Level or Equivalent,0-35,N,Withdrawn,49
51,141377,M,South West Region,A Level or Equivalent,0-35,N,Pass,49
52,142326,F,North Region,A Level or Equivalent,35-55,N,Pass,74
53,144801,F,South Region,HE Qualification,35-55,N,Pass,69
54,145130,M,South West Region,HE Qualification,0-35,N,Pass,55
55,146188,F,West Midlands Region,A Level or Equivalent,0-35,Y,Fail,50
56,147756,M,North Region,Lower Than A Level,0-35,N,Fail,69
57,147756,M,North Region,Lower Than A Level,0-35,N,Pass,69
58,147793,F,North Region,Lower Than A Level,0-35,N,Withdrawn,52
59,148993,F,North Western Region,A Level or Equivalent,35-55,Y,Withdrawn,80
60,148993,F,North Western Region,A Level or Equivalent,35-55,Y,Pass,80
61,151358,F,London Region,A Level or Equivalent,0-35,N,Pass,50
62,155550,M,London Region,A Level or Equivalent,35-55,N,Pass,67
63,155854,F,East Midlands Region,A Level or Equivalent,35-55,N,Pass,80
64,155984,F,East Anglian Region,Lower Than A Level,0-35,N,Withdrawn,79
65,155984,F,East Anglian Region,Lower Than A Level,0-35,N,Pass,79
66,157568,F,South West Region,A Level or Equivalent,0-35,N,Pass,71
67,159954,M,East Midlands Region,A Level or Equivalent,35-55,N,Withdrawn,69
68,159954,M,East Midlands Region,A Level or Equivalent,35-55,N,Withdrawn,69
69,164259,M,Scotland,A Level or Equivalent,0-35,N,Pass,72
70,167906,F,Yorkshire Region,A Level or Equivalent,35-55,N,Pass,70
71,168936,F,West Midlands Region,Lower Than A Level,35-55,N,Pass,67
72,172112,M,Ireland,HE Qualification,35-55,N,Pass,70
73,172797,F,Ireland,A Level or Equivalent,35-55,N,Pass,62
74,174782,M,East Anglian Region,HE Qualification,55<=,N,Pass,81
75,175392,M,North Region,HE Qualification,35-55,N,Pass,83
