id_student,click_events
6516,2791
8462,656
11391,934
23629,
23698,910
23798,590
24186,184
24213,1992
24391,712
24734,499
25107,2562
25150,2103
25261,997
25572,113
25629,16
25997,13
26023,786
26192,2223
26211,15205
26247,478
26315,2451
26734,210
26915,61
27116,1847
27189,2638
27417,510
27683,2129
27759,366
27780,
27891,348
27935,813
28046,661
28061,1590
28400,1435
28418,328
28787,645
28808,232
28897,
28952,105
29144,1914
29335,8840
29411,
29420,816
29639,10503
29764,2867
29769,1608
29820,2502
29985,760
30091,1332
30096,714
30268,281
30531,1548
30549,137
30850,2258
31014,531
31107,3873
31161,2932
31173,858
31205,381
31269,859
31296,1280
31600,429
31604,2158
31663,5906
31849,
32221,1133
32239,620
32327,699
32885,1034
32930,438
33387,248
33600,481
33666,1208
33681,464
33796,351
33897,322
33915,4121
33930,544
34068,613
34087,425
34229,706
34293,921
34353,391
34431,192
34653,213
34662,218
34731,681
34756,129
34863,198
35001,77
35340,1812
35355,
35502,545
35508,3412
35544,2107
35747,653
35796,602
35812,19
35860,2215
36347,2161
36385,1355
37298,2097
37622,470
37652,885
38053,2445
38234,94
38711,169
39208,2067
39411,164
39427,93
39655,432
39660,630
39882,1761
40184,1876
40333,174
40419,704
40508,91
40563,584
40604,465
40857,304
40878,2455
41060,411
41414,965
41489,53
41547,1007
42552,5079
42616,4093
42638,11845
42668,2839
42746,10673
42818,200
43273,1862
43284,847
43430,5693
43564,2334
43958,3318
45423,4383
45462,1492
45642,1428
45664,1445
46016,389
46048,12
46148,3724
46605,3427
46705,1149
46753,1779
46812,141
46844,340
47061,347
47063,137
47855,
47861,8757
47891,118
47924,34
48040,1829
48152,528
48503,434
48635,4998
49119,2268
49123,1362
49670,33
50069,531
50263,6288
50476,568
50487,5021
50610,13
50993,176
51030,804
51033,913
51153,1179
51163,1167
51301,670
51485,2750
51576,6101
51955,405
52014,349
52130,1894
52275,91
52426,68
52702,323
52765,4938
52797,1117
52899,2468
53025,3158
53136,3493
53166,
53197,60
53236,43
53300,1957
53360,22
53488,1426
53626,39
53632,583
53709,2910
53895,65
54062,1624
54388,42
54391,179
54810,701
54867,604
54882,498
55013,604
55026,283
55104,1480
55242,
55419,275
55450,1195
55968,578
56340,4
56637,5440
56667,853
56789,379
57079,776
57227,1425
57285,283
57340,1090
57359,217
57506,1319
57818,3037
57844,
58071,3648
58077,37
58089,102
58316,1295
58549,2481
58617,834
58640,1784
58653,383
58731,177
58873,1732
58884,5248
59185,1102
59272,1425
59275,522
59370,2057
59541,441
59725,859
60135,2750
60162,
60405,852
60416,4983
60519,3198
60809,4941
60830,1365
61227,4642
61236,506
61297,94
61352,181
61911,448
62034,1889
62155,3388
62278,1037
62487,683
62631,525
62975,274
63015,694
63044,231
63112,3519
63165,912
63295,1210
63371,3344
63400,2737
63467,712
63566,
63721,771
63827,108
63856,965
63949,432
63958,110
64275,199
64296,1239
64388,4596
64427,5640
64450,3327
64767,206
64901,827
65002,176
65656,1776
66047,52
66254,
66451,
66577,143
66579,681
66713,1850
66892,329
67182,354
67471,1113
67505,1246
67539,1438
67602,797
67685,2314
67781,
67785,1351
67986,660
68011,360
68107,4255
68208,7467
68376,1085
68417,1270
68556,98
69346,1458
69439,
69489,215
69491,373
69494,2049
69703,695
70011,6396
70214,3509
70381,755
70464,1053
70495,7252
70537,2434
70569,947
70608,270
70750,103
70771,181
70827,269
71159,5236
71209,483
71252,1194
71361,2327
71433,60
71504,1049
71578,1572
71676,1077
71723,737
71897,261
72114,4300
72349,134
72400,420
72609,6378
72693,2269
72864,1423
73019,540
73489,1845
73584,243
73664,141
73874,931
74113,583
74165,1897
74290,271
74372,116
74502,3630
74521,1297
74524,96
74585,7811
74695,3679
74734,208
75091,2992
75107,5914
75255,950
75309,1
75399,489
75427,1073
75454,4465
75728,1868
76081,1728
76536,18
76579,2229
76949,1482
77241,224
77367,680
77692,2568
77744,2273
77746,110
77763,
77845,472
77995,897
77998,1305
78170,2669
78255,321
78645,426
79261,2073
79403,1782
79461,810
79610,2482
79683,431
80329,4608
80358,1502
80438,5083
80448,350
80491,330
80717,3699
80745,1015
80775,698
